"fecha","pApertura","maxima","baja","cierre","volumen","cierreajustado"
"28 de nov de 2016","48.05","48.50","47.75","47.96","918,100","47.96"
"25 de nov de 2016","48.30","48.63","48.05","48.57","906,900","48.57"
"24 de nov de 2016","48.68","48.75","48.01","48.17","570,800","48.17"
"23 de nov de 2016","47.99","48.85","47.76","48.68","1,922,300","48.68"
"22 de nov de 2016","46.70","48.49","46.70","48.05","2,947,900","48.05"
"21 de nov de 2016","46.55","46.55","46.55","46.55","0","46.55"
"18 de nov de 2016","48.73","48.81","46.40","46.55","4,517,800","46.55"
"17 de nov de 2016","50.00","50.07","48.50","48.66","2,341,200","48.66"
"16 de nov de 2016","50.00","50.88","49.07","49.66","3,076,400","49.66"
"15 de nov de 2016","51.30","52.70","49.69","49.91","3,516,500","49.91"
"14 de nov de 2016","50.00","52.09","49.13","51.35","3,962,000","51.35"
"11 de nov de 2016","50.25","51.50","49.00","49.93","6,022,600","49.93"
"10 de nov de 2016","51.97","51.97","49.10","50.00","7,309,400","50.00"
"9 de nov de 2016","49.90","52.99","49.00","52.01","5,256,500","52.01"
"8 de nov de 2016","51.81","52.14","51.53","52.01","2,843,500","52.01"
"7 de nov de 2016","50.00","52.00","50.00","51.73","4,234,200","51.73"
"4 de nov de 2016","48.65","50.57","48.62","49.67","3,619,400","49.67"
"3 de nov de 2016","50.13","50.25","48.53","48.75","2,418,500","48.75"
"2 de nov de 2016","50.13","50.13","50.13","50.13","0","50.13"
"1 de nov de 2016","50.90","51.02","50.02","50.13","2,466,300","50.13"
"31 de oct de 2016","51.16","51.16","50.49","50.91","2,356,500","50.91"
"28 de oct de 2016","51.51","52.14","50.02","51.42","2,689,400","51.42"
"27 de oct de 2016","50.98","51.72","50.40","51.51","1,629,300","51.51"
"26 de oct de 2016","51.32","51.58","50.79","50.90","1,519,800","50.90"
"25 de oct de 2016","51.87","52.25","51.15","51.24","1,372,300","51.24"
"24 de oct de 2016","51.91","52.20","51.66","52.01","792,500","52.01"
"21 de oct de 2016","51.91","51.99","51.36","51.66","1,039,800","51.66"
"20 de oct de 2016","53.38","53.40","51.76","51.91","1,441,200","51.91"
"19 de oct de 2016","52.08","53.51","52.08","53.30","2,372,800","53.30"
"18 de oct de 2016","51.40","52.35","51.19","52.00","2,373,100","52.00"
"17 de oct de 2016","52.43","52.43","51.00","51.14","1,488,000","51.14"
"14 de oct de 2016","51.45","52.89","51.44","51.80","2,197,200","51.80"
"13 de oct de 2016","51.32","51.71","50.76","51.20","1,982,600","51.20"
"12 de oct de 2016","52.10","52.11","51.01","51.39","4,031,500","51.39"
"11 de oct de 2016","52.21","52.96","52.00","52.18","1,786,600","52.18"
"10 de oct de 2016","51.81","53.20","51.81","52.21","1,345,700","52.21"
"7 de oct de 2016","52.57","52.58","51.51","51.67","1,539,700","51.67"
"6 de oct de 2016","53.02","53.55","52.26","52.49","1,149,600","52.49"
"5 de oct de 2016","53.50","53.60","52.76","53.29","1,609,000","53.29"
"4 de oct de 2016","53.03","53.50","52.36","53.41","2,038,700","53.41"
"3 de oct de 2016","51.11","53.20","51.10","53.03","2,009,200","53.03"
"30 de sep de 2016","52.98","53.24","50.90","51.11","3,204,000","51.11"
"29 de sep de 2016","53.21","54.00","52.71","52.90","1,149,000","52.90"
"28 de sep de 2016","54.43","54.89","53.10","53.28","1,471,500","53.28"
"27 de sep de 2016","52.83","54.67","52.65","54.48","3,628,000","54.48"
"26 de sep de 2016","53.47","53.47","52.20","52.75","1,728,800","52.75"
"23 de sep de 2016","52.61","53.75","52.35","53.55","3,544,200","53.55"
"22 de sep de 2016","52.40","53.25","52.14","53.02","2,426,200","53.02"
"21 de sep de 2016","52.54","52.79","51.52","52.34","1,888,000","52.34"
"20 de sep de 2016","52.14","52.92","51.78","52.61","2,575,500","52.61"
"19 de sep de 2016","51.22","52.39","50.66","52.21","2,062,900","52.21"
"16 de sep de 2016","51.22","51.22","51.22","51.22","0","51.22"
"15 de sep de 2016","51.15","51.48","50.20","51.22","10,237,400","51.22"
"14 de sep de 2016","52.67","52.68","50.28","50.49","4,998,900","50.49"
"13 de sep de 2016","53.90","53.90","52.26","52.50","5,550,600","52.50"
"12 de sep de 2016","53.32","54.25","52.03","53.99","2,999,300","53.99"
"9 de sep de 2016","53.63","53.84","53.20","53.52","2,292,700","53.52"
"8 de sep de 2016","53.61","53.79","53.20","53.71","1,478,300","53.71"
"7 de sep de 2016","54.01","54.24","53.08","53.53","1,319,900","53.53"
"6 de sep de 2016","54.21","54.52","53.30","54.09","2,129,900","54.09"
"5 de sep de 2016","54.80","54.80","53.85","54.13","502,800","54.13"
"2 de sep de 2016","53.19","54.94","53.19","54.88","1,815,200","54.88"
"1 de sep de 2016","53.56","53.58","52.81","53.11","1,358,000","53.11"
"31 de ago de 2016","53.11","53.58","52.75","53.49","4,041,600","53.49"
"30 de ago de 2016","53.09","53.40","52.75","53.03","1,525,900","53.03"
"29 de ago de 2016","53.51","53.90","52.80","53.01","1,563,000","53.01"
"26 de ago de 2016","55.02","55.02","53.00","53.35","2,963,700","53.35"
"25 de ago de 2016","55.10","55.50","54.95","55.02","1,159,800","55.02"
"24 de ago de 2016","54.84","55.40","54.78","55.19","1,008,200","55.19"
"23 de ago de 2016","55.84","55.84","54.61","54.76","1,327,000","54.76"
"22 de ago de 2016","55.10","55.95","54.51","55.76","1,209,600","55.76"
"19 de ago de 2016","54.50","55.67","54.50","55.16","1,171,900","55.16"
"18 de ago de 2016","55.56","55.77","54.50","55.64","1,610,400","55.64"
"17 de ago de 2016","54.98","55.50","54.52","55.16","1,444,600","55.16"
"16 de ago de 2016","55.69","56.00","54.85","54.97","1,881,800","54.97"
"15 de ago de 2016","55.26","56.20","55.20","55.42","3,460,600","55.42"
"12 de ago de 2016","55.20","55.84","55.04","55.18","1,925,800","55.18"
"11 de ago de 2016","55.86","56.50","54.93","55.12","4,003,500","55.12"
"10 de ago de 2016","55.95","56.00","55.37","55.94","1,482,600","55.94"
"9 de ago de 2016","55.84","56.25","55.09","55.54","2,423,200","55.54"
"8 de ago de 2016","55.55","56.09","54.90","55.84","2,666,900","55.84"
"5 de ago de 2016","55.60","56.01","54.86","55.56","1,270,800","55.56"
"4 de ago de 2016","55.65","55.65","55.45","55.48","735,200","55.48"
"3 de ago de 2016","55.03","55.85","54.91","55.20","3,197,400","55.20"
"2 de ago de 2016","55.65","55.65","54.00","54.86","2,858,700","54.86"
"1 de ago de 2016","56.00","56.10","55.51","55.64","3,430,400","55.64"
"29 de jul de 2016","56.25","56.40","55.65","55.89","4,193,300","55.89"
"28 de jul de 2016","56.61","56.89","55.50","56.40","1,751,300","56.40"
"27 de jul de 2016","57.48","57.90","56.03","56.26","3,038,400","56.26"
"26 de jul de 2016","57.90","58.33","56.13","56.46","3,102,000","56.46"
"25 de jul de 2016","59.00","59.37","57.10","57.59","1,419,300","57.59"
"22 de jul de 2016","59.45","59.50","58.11","58.82","1,145,800","58.82"
"21 de jul de 2016","58.33","59.37","58.33","58.82","2,174,200","58.82"
"20 de jul de 2016","58.81","58.99","57.75","58.79","2,019,500","58.79"
"19 de jul de 2016","59.18","59.50","58.65","58.98","2,512,900","58.98"
"18 de jul de 2016","58.46","59.00","58.14","58.80","1,302,400","58.80"
"15 de jul de 2016","59.54","59.73","57.35","58.77","2,411,100","58.77"
"14 de jul de 2016","57.49","59.73","57.30","59.63","3,904,700","59.63"
"13 de jul de 2016","57.00","57.88","56.36","57.14","1,605,600","57.14"
"12 de jul de 2016","57.47","57.90","57.00","57.22","1,763,800","57.22"
"11 de jul de 2016","56.79","58.35","56.67","57.00","1,827,600","57.00"
"8 de jul de 2016","57.50","57.50","56.00","56.79","1,097,200","56.79"
"7 de jul de 2016","57.33","57.44","56.00","56.09","2,884,900","56.09"
"6 de jul de 2016","58.29","58.47","56.75","56.95","2,176,500","56.95"
"5 de jul de 2016","59.77","59.77","57.76","58.34","1,781,700","58.34"
"4 de jul de 2016","57.90","60.86","57.74","59.86","860,800","59.86"
"1 de jul de 2016","57.31","58.99","57.31","58.02","1,791,200","58.02"
"30 de jun de 2016","57.48","58.39","56.70","57.22","2,402,600","57.22"
"29 de jun de 2016","56.80","57.63","56.64","57.48","2,167,100","57.48"
"28 de jun de 2016","55.85","56.85","55.85","56.10","1,788,100","56.10"
"27 de jun de 2016","55.48","55.90","54.05","55.55","1,893,300","55.55"
"24 de jun de 2016","57.40","57.40","54.50","55.56","2,519,600","55.56"
"23 de jun de 2016","56.30","58.17","56.20","57.84","1,747,700","57.84"
"22 de jun de 2016","55.03","56.67","54.75","56.38","2,061,400","56.38"
"21 de jun de 2016","54.76","55.72","54.09","55.03","2,901,800","55.03"
"20 de jun de 2016","55.86","56.50","54.30","54.84","1,506,200","54.84"
"17 de jun de 2016","54.27","56.30","54.27","55.58","4,530,000","55.58"
"16 de jun de 2016","53.00","54.90","53.00","54.78","2,268,300","54.78"
"15 de jun de 2016","52.76","53.90","52.51","53.53","3,026,300","53.53"
"14 de jun de 2016","53.02","53.59","52.00","52.50","5,121,000","52.50"
"13 de jun de 2016","53.70","54.32","53.00","53.34","1,750,400","53.34"
"10 de jun de 2016","54.75","54.75","53.05","53.68","1,449,800","53.68"
"9 de jun de 2016","54.59","55.48","54.01","54.25","1,866,200","54.25"
"8 de jun de 2016","55.26","56.27","54.29","54.53","2,478,800","54.53"
"7 de jun de 2016","54.74","55.59","54.32","55.24","3,024,400","55.24"
"6 de jun de 2016","54.38","54.82","54.00","54.27","970,000","54.27"
"3 de jun de 2016","54.53","54.87","53.33","54.46","2,329,300","54.46"
"2 de jun de 2016","54.17","54.17","53.45","53.69","2,667,700","53.69"
"1 de jun de 2016","54.41","54.85","53.54","53.68","3,677,400","53.68"
"31 de may de 2016","55.42","55.42","54.00","54.41","13,290,500","54.41"
"30 de may de 2016","55.01","55.75","55.00","55.50","535,100","55.50"
"27 de may de 2016","55.89","55.93","55.08","55.40","1,987,500","55.40"
"26 de may de 2016","56.41","56.49","55.05","55.29","3,762,400","55.29"
"25 de may de 2016","56.14","57.00","56.14","56.33","1,222,200","56.33"
"24 de may de 2016","55.35","56.95","55.15","56.06","1,508,800","56.06"
"23 de may de 2016","55.72","55.92","55.11","55.27","4,326,100","55.27"
"20 de may de 2016","56.39","56.89","55.01","55.18","1,729,700","55.18"
"19 de may de 2016","56.50","57.09","55.99","56.95","2,064,100","56.95"
"18 de may de 2016","57.12","57.12","55.52","56.85","3,059,100","56.85"
"17 de may de 2016","54.98","57.24","54.33","57.02","4,309,100","57.02"
"16 de may de 2016","54.40","54.88","54.30","54.61","1,223,700","54.61"
"13 de may de 2016","52.81","54.40","52.81","54.35","1,331,100","54.35"
"12 de may de 2016","55.02","55.78","53.99","54.20","2,429,600","54.20"
"11 de may de 2016","54.96","55.51","54.47","55.10","10,195,000","55.10"
"10 de may de 2016","54.22","55.94","54.20","54.97","4,063,100","54.97"
"9 de may de 2016","53.20","54.68","52.62","54.34","1,692,800","54.34"
"6 de may de 2016","52.64","53.50","52.11","53.45","1,291,000","53.45"
"5 de may de 2016","53.76","53.93","52.70","52.95","1,748,300","52.95"
"4 de may de 2016","52.11","54.25","52.02","53.99","4,293,300","53.99"
"3 de may de 2016","53.18","53.18","52.00","52.81","1,454,300","52.81"
"2 de may de 2016","52.37","53.75","52.01","53.26","1,214,800","53.26"
"29 de abr de 2016","52.04","52.65","51.20","52.45","646,200","52.45"
"28 de abr de 2016","51.74","52.30","51.20","52.12","2,255,600","52.12"
"27 de abr de 2016","50.62","51.66","50.60","51.57","7,475,800","51.57"
"26 de abr de 2016","49.88","50.50","49.50","50.32","1,549,700","50.32"
"25 de abr de 2016","50.10","50.48","49.79","49.95","1,585,700","49.95"
"22 de abr de 2016","50.67","50.67","49.91","50.02","1,297,600","50.02"
"abr 22, 20160.24 Dividendo

21 de abr de 2016","50.49","50.79","49.79","50.62","1,241,700","50.38"
"20 de abr de 2016","50.19","50.55","49.51","50.50","4,037,600","50.26"
"19 de abr de 2016","48.26","50.29","48.26","50.18","9,371,200","49.94"
"18 de abr de 2016","49.08","49.50","47.68","47.80","3,152,300","47.57"
"15 de abr de 2016","49.55","49.61","48.88","49.15","2,713,700","48.92"
"14 de abr de 2016","49.69","49.90","49.10","49.28","1,720,100","49.05"
"13 de abr de 2016","49.57","49.98","49.02","49.15","3,375,000","48.92"
"12 de abr de 2016","49.00","49.70","49.00","49.50","2,935,500","49.27"
"11 de abr de 2016","49.11","49.64","48.85","49.01","1,803,600","48.78"
"8 de abr de 2016","49.73","50.05","49.06","49.11","1,777,800","48.88"
"7 de abr de 2016","49.41","49.45","48.90","49.31","3,733,100","49.08"
"6 de abr de 2016","49.61","49.80","49.20","49.42","1,578,500","49.19"
"5 de abr de 2016","49.85","50.49","49.25","49.44","2,259,300","49.21"
"4 de abr de 2016","50.66","50.90","49.82","49.93","4,361,600","49.69"
"1 de abr de 2016","50.70","51.07","49.88","50.58","4,033,900","50.34"
"31 de mar de 2016","51.48","51.90","50.50","51.07","2,965,300","50.83"
"30 de mar de 2016","51.39","51.97","50.90","51.48","1,680,400","51.24"
"29 de mar de 2016","51.77","51.77","50.82","51.47","1,442,300","51.23"
"28 de mar de 2016","51.65","51.76","51.01","51.52","672,600","51.28"
"25 de mar de 2016","51.40","51.40","51.40","51.40","0","51.16"
"24 de mar de 2016","51.40","51.40","51.40","51.40","0","51.16"
"23 de mar de 2016","51.83","51.84","50.59","51.40","2,631,200","51.16"
"22 de mar de 2016","50.10","52.27","50.10","51.51","1,913,300","51.27"
"21 de mar de 2016","51.07","51.07","51.07","51.07","0","50.83"
"18 de mar de 2016","51.74","53.18","50.55","51.07","4,179,800","50.83"
"17 de mar de 2016","50.55","51.85","50.55","51.82","3,030,800","51.57"
"16 de mar de 2016","50.46","51.28","50.00","50.54","2,505,800","50.30"
"15 de mar de 2016","50.89","51.29","50.30","50.54","1,648,300","50.30"
"14 de mar de 2016","51.38","51.38","50.05","50.97","1,544,500","50.73"
"11 de mar de 2016","51.10","52.00","50.20","50.34","2,567,800","50.10"
"10 de mar de 2016","51.29","51.95","50.01","50.85","2,418,800","50.61"
"9 de mar de 2016","52.23","52.49","51.00","51.51","818,100","51.27"
"8 de mar de 2016","51.90","52.49","51.00","52.31","1,604,600","52.06"
"7 de mar de 2016","52.09","52.49","51.50","51.71","1,228,300","51.46"
"4 de mar de 2016","53.25","54.50","52.13","52.33","2,037,400","52.08"
"3 de mar de 2016","53.83","54.24","52.25","52.72","2,640,000","52.47"
"2 de mar de 2016","53.55","54.79","53.55","53.91","3,009,400","53.65"
"1 de mar de 2016","52.30","53.68","52.25","53.47","4,045,700","53.22"
"29 de feb de 2016","51.65","52.49","51.10","51.50","2,963,300","51.26"
