"fecha","pApertura","maxima","baja","cierre","volumen","cierreajustado"
"25 de nov de 2016","56.99","56.99","55.85","56.00","10,800","56.00"
"24 de nov de 2016","54.27","56.97","53.50","56.97","50,000","56.97"
"23 de nov de 2016","54.95","54.95","53.50","54.22","123,000","54.22"
"22 de nov de 2016","55.20","55.50","54.95","54.99","79,200","54.99"
"21 de nov de 2016","55.24","55.24","55.24","55.24","0","55.24"
"18 de nov de 2016","56.40","56.40","55.10","55.24","55,100","55.24"
"17 de nov de 2016","56.27","56.27","55.26","55.30","212,100","55.30"
"16 de nov de 2016","57.50","57.50","55.00","56.27","15,800","56.27"
"15 de nov de 2016","56.70","59.50","56.70","57.50","26,700","57.50"
"14 de nov de 2016","57.00","57.00","56.00","56.70","18,600","56.70"
"11 de nov de 2016","56.00","57.50","56.00","56.00","4,800","56.00"
"10 de nov de 2016","58.30","58.30","54.20","57.60","37,700","57.60"
"9 de nov de 2016","59.00","60.76","57.50","60.45","132,300","60.45"
"8 de nov de 2016","62.00","62.00","61.50","62.00","2,900","62.00"
"7 de nov de 2016","61.53","62.99","61.53","62.00","4,700","62.00"
"4 de nov de 2016","61.66","62.00","61.45","62.00","72,800","62.00"
"3 de nov de 2016","61.50","61.60","61.50","61.51","213,200","61.51"
"2 de nov de 2016","62.00","62.00","62.00","62.00","0","62.00"
"1 de nov de 2016","61.96","62.45","61.96","62.00","7,900","62.00"
"31 de oct de 2016","61.70","62.25","61.70","62.25","18,600","62.25"
"28 de oct de 2016","61.56","62.15","61.51","61.70","57,600","61.70"
"27 de oct de 2016","62.46","62.46","61.55","62.44","4,800","62.44"
"26 de oct de 2016","62.47","62.47","62.00","62.46","14,200","62.46"
"25 de oct de 2016","62.00","62.40","61.31","62.40","21,200","62.40"
"24 de oct de 2016","62.17","63.20","62.17","63.20","2,700","63.20"
"21 de oct de 2016","61.40","61.50","61.11","61.17","133,700","61.17"
"20 de oct de 2016","61.50","61.93","61.50","61.93","9,100","61.93"
"19 de oct de 2016","61.29","62.15","61.29","62.15","500","62.15"
"18 de oct de 2016","61.41","61.47","61.26","61.29","4,700","61.29"
"17 de oct de 2016","62.08","62.21","61.26","61.26","5,800","61.26"
"14 de oct de 2016","61.26","62.10","61.26","62.10","600","62.10"
"13 de oct de 2016","61.26","62.08","61.26","61.27","800","61.27"
"12 de oct de 2016","61.79","61.79","61.76","61.76","3,800","61.76"
"11 de oct de 2016","61.66","61.85","61.66","61.79","4,200","61.79"
"10 de oct de 2016","61.97","61.97","61.35","61.70","31,200","61.70"
"7 de oct de 2016","62.40","62.40","61.35","61.98","7,000","61.98"
"6 de oct de 2016","62.00","62.00","61.00","61.27","25,400","61.27"
"5 de oct de 2016","60.91","62.00","60.11","62.00","45,600","62.00"
"4 de oct de 2016","62.46","62.46","60.60","61.05","14,000","61.05"
"3 de oct de 2016","63.00","63.01","60.52","62.45","25,300","62.45"
"30 de sep de 2016","59.07","62.49","59.07","61.67","46,000","61.67"
"29 de sep de 2016","58.80","62.50","58.80","60.90","105,800","60.90"
"28 de sep de 2016","59.50","59.98","58.80","59.35","60,100","59.35"
"27 de sep de 2016","58.99","59.80","58.99","59.52","46,700","59.52"
"26 de sep de 2016","58.48","59.93","58.24","59.06","31,700","59.06"
"23 de sep de 2016","59.25","59.48","58.75","59.48","3,900","59.48"
"22 de sep de 2016","59.02","59.50","58.99","59.28","260,400","59.28"
"21 de sep de 2016","59.15","59.15","58.20","59.01","117,100","59.01"
"20 de sep de 2016","59.19","59.49","59.14","59.49","500","59.49"
"19 de sep de 2016","60.00","60.00","58.26","58.99","76,200","58.99"
"16 de sep de 2016","58.64","58.64","58.64","58.64","0","58.64"
"15 de sep de 2016","60.06","60.20","58.11","58.64","231,700","58.64"
"14 de sep de 2016","60.06","60.08","60.06","60.08","500","60.08"
"13 de sep de 2016","60.26","60.50","60.06","60.50","14,400","60.50"
"12 de sep de 2016","60.60","60.80","60.42","60.53","30,900","60.53"
"9 de sep de 2016","60.75","60.78","60.75","60.75","14,500","60.75"
"8 de sep de 2016","60.90","61.47","60.90","61.11","1,500","61.11"
"7 de sep de 2016","61.00","61.09","60.57","60.90","26,100","60.90"
"6 de sep de 2016","61.00","61.01","61.00","61.01","6,500","61.01"
"5 de sep de 2016","60.40","61.01","60.40","61.00","8,400","61.00"
"2 de sep de 2016","61.00","61.59","60.76","60.78","4,800","60.78"
"1 de sep de 2016","61.00","61.00","60.77","60.77","1,300","60.77"
"31 de ago de 2016","61.35","61.50","60.75","61.33","66,400","61.33"
"30 de ago de 2016","60.07","61.44","60.07","61.37","5,800","61.37"
"29 de ago de 2016","61.00","61.00","60.05","60.07","5,400","60.07"
"26 de ago de 2016","61.00","61.20","61.00","61.00","50,300","61.00"
